WUSTL Participant,WUSTL Specimen,WUSTL Path,HTAN_DATA_FILE_ID,HTAN_PARENT_ID,FILENAME,FILE_FORMAT,ASSAY_CHEMISTRY_VERSION,BUNDLE_CONTENTS,HAS_CELL_SEGMENTATION,HAS_CLUSTERING,PANEL_SIZE_TOTAL_TARGETS,PLATFORM,PROTEIN_MEASURED,QC_FEATURE_NUMBER,QC_MEAN_READS_PER_FEATURE,QC_SPATIAL_UNIT,QC_TOTAL_GENES_DETECTED,QC_TOTAL_NUMBER_OF_READS,REGION_AREA,RNA_MEASURED,SEQUENCING_CONFIGURATION,SEQUENCING_DEPTH,SEQUENCING_INSTRUMENT,SAME_SECTION_IMAGING_CHANNELS,TRANSCRIPTOME_TYPE,DIMENSIONALITY_REDUCTION_METHOD,CLUSTERING_METHOD,NUMBER_OF_CLUSTERS,CELL_SEGMENTATION_METHOD,CELL_SEGMENTED_OBJECT_TYPE,NUMBER_OF_SEGMENTED_CELLS,CAPTURE_AREA,CYTASSIST_USED,GENOMIC_REFERENCE,HAS_DIMENSIONALITY_REDUCTION,PANEL_NAME,PANEL_SYNAPSE_ID,PORTAL_PREVIEW_FILE,PROTOCOL_LINK,RUN_ID,SAME_SECTION_IMAGING_ID,SAME_SECTION_IMAGING_MODALITY,SLIDE_SERIAL_NUMBER,SOFTWARE_AND_VERSION,SPATIAL_ASSAY_TYPE
HT913Z1,HT913Z1-S2H1Fp1U61,/diskmnt/primary/Xenium/data/20240703__174409__20240703_HTAN_prostate-serial/output-XETG00122__0024913__HT913Z1-S2H1Fp1U61__20240703__174440/,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,275511,94,cell,477,43175890,47324650.0,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT913Z1,HT913Z1-S2H1Fp1U81,/diskmnt/primary/Xenium/data/20240703__174409__20240703_HTAN_prostate-serial/output-XETG00122__0024913__HT913Z1-S2H1Fp1U81__20240703__174440/,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,253514,97,cell,477,40301195,43815339.5,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT913Z1,HT913Z1-S2H1Fp1U1,/diskmnt/primary/Xenium/data/20240710__201651__20240710_5K_Prostate_SenNet/output-XETG00122__0037154__HT913Z1-S2H1Fp1U1__20240710__201813,Matt fills in,Matt fills in,,,Xenium Prime,,TRUE,TRUE,5101,Xenium,FALSE,295168,313,cell,5101,159059071,49030755.5,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT913Z1,HT913Z1-S2H1Fp1U11,/diskmnt/primary/Xenium/data/20240710__201651__20240710_5K_Prostate_SenNet/output-XETG00122__0037154__HT913Z1-S2H1Fp1U11__20240710__201813,Matt fills in,Matt fills in,,,Xenium Prime,,TRUE,TRUE,5101,Xenium,FALSE,301137,310,cell,5101,159105900,50337306.7,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT913Z1,HT913Z1-S2H1Fp1U21,/diskmnt/primary/Xenium/data/20240710__201651__20240710_5K_Prostate_SenNet/output-XETG00122__0037154__HT913Z1-S2H1Fp1U21__20240710__201813,Matt fills in,Matt fills in,,,Xenium Prime,,TRUE,TRUE,5101,Xenium,FALSE,299992,309,cell,5101,158894932,50783154.9,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT913Z1,HT913Z1-S1H1Fp1U1,/diskmnt/primary/Xenium/data/20240722__191436__20240722_HTAN_prostate_BM/output-XETG00122__0022654__HT913Z1-S1H1Fp1U1__20240722__191506,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,327313,52,cell,477,29238461,55175976.5,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT913Z1,HT913Z1-S1H1Fp1U11,/diskmnt/primary/Xenium/data/20240722__191436__20240722_HTAN_prostate_BM/output-XETG00122__0022654__HT913Z1-S1H1Fp1U11__20240722__191506,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,407148,103,cell,477,65283223,60387816.6,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT913Z1,HT913Z1-S1H1Fp1U8,/diskmnt/primary/Xenium/data/20240722__191436__20240722_HTAN_prostate_BM/output-XETG00122__0022654__HT913Z1-S1H1Fp1U8__20240722__191506,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,356897,91,cell,477,50576682,57349868.0,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP048Z1,SP048Z1-Fp1C27U1,/diskmnt/primary/Xenium/data/20240927__185207__20240927_5K_Multi_PCa_GBM_PKD/output-XETG00063__0037329__S18-5929-C27U1__20240927__185257,Matt fills in,Matt fills in,,,Xenium Prime,,TRUE,TRUE,5101,Xenium,FALSE,514956,369,cell,5101,355577950,98608313.1,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP016Z1,SP016Z1-Fp1B28U2,/diskmnt/primary/Xenium/data/20240927__185207__20240927_5K_Multi_PCa_GBM_PKD/output-XETG00063__0037329__S18-8122-B28U1__20240927__185257,Matt fills in,Matt fills in,,,Xenium Prime,,TRUE,TRUE,5101,Xenium,FALSE,507016,374,cell,5101,274733745,101786158.5,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
