WUSTL Participant,WUSTL Specimen,WUSTL Path,HTAN_DATA_FILE_ID,HTAN_PARENT_ID,FILENAME,FILE_FORMAT,ASSAY_CHEMISTRY_VERSION,BUNDLE_CONTENTS,HAS_CELL_SEGMENTATION,HAS_CLUSTERING,PANEL_SIZE_TOTAL_TARGETS,PLATFORM,PROTEIN_MEASURED,QC_FEATURE_NUMBER,QC_MEAN_READS_PER_FEATURE,QC_SPATIAL_UNIT,QC_TOTAL_GENES_DETECTED,QC_TOTAL_NUMBER_OF_READS,REGION_AREA,RNA_MEASURED,SEQUENCING_CONFIGURATION,SEQUENCING_DEPTH,SEQUENCING_INSTRUMENT,SAME_SECTION_IMAGING_CHANNELS,TRANSCRIPTOME_TYPE,DIMENSIONALITY_REDUCTION_METHOD,CLUSTERING_METHOD,NUMBER_OF_CLUSTERS,CELL_SEGMENTATION_METHOD,CELL_SEGMENTED_OBJECT_TYPE,NUMBER_OF_SEGMENTED_CELLS,CAPTURE_AREA,CYTASSIST_USED,GENOMIC_REFERENCE,HAS_DIMENSIONALITY_REDUCTION,PANEL_NAME,PANEL_SYNAPSE_ID,PORTAL_PREVIEW_FILE,PROTOCOL_LINK,RUN_ID,SAME_SECTION_IMAGING_ID,SAME_SECTION_IMAGING_MODALITY,SLIDE_SERIAL_NUMBER,SOFTWARE_AND_VERSION,SPATIAL_ASSAY_TYPE
HT480B1,HT480B1-S1H1Fs1U2Bp1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_FFPE/Human/HT480B1/H1/HT480B1-S1H1Fs1U2Bp1,Matt fills in,Matt fills in,,,Visium V1 Slide - FFPE v1,,FALSE,TRUE,17943,Visium,FALSE,1881,30694,spot,16526,57735823,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,94050000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT486B1,HT486B1-S1H1Fs1U1Bp1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_FFPE/Human/HT486B1/H1/HT486B1-S1H1Fs1U1Bp1,Matt fills in,Matt fills in,,,Spatial 3' v1,,FALSE,TRUE,17943,Visium,FALSE,1832,60390,spot,14380,110634029,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,91600000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT486B1,HT486B1-S1H1Fs1U2Bp1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_FFPE/Human/HT486B1/H1/HT486B1-S1H1Fs1U2Bp1,Matt fills in,Matt fills in,,,Visium V1 Slide - FFPE v1,,FALSE,TRUE,17943,Visium,FALSE,1396,187302,spot,17300,261473049,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,69800000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
SP017Z1,SP017Z1-Fp1B27Us1_1Bp1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_FFPE/Human/S18-9906/B27/S18-9906-B27Us1_1Bp1,Matt fills in,Matt fills in,,,Visium V1 Slide - FFPE v1,,FALSE,TRUE,17943,Visium,FALSE,4135,23633,spot,16534,97720606,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,206750000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
SP017Z1,SP017Z1-Fp1B27Us1_16Bp1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_FFPE/Human/S18-9906/B27/S18-9906-B27Us1_16Bp1,Matt fills in,Matt fills in,,,Visium V1 Slide - FFPE v1,,FALSE,TRUE,17943,Visium,FALSE,4691,23086,spot,16850,108294805,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,234550000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
SP060Z1,SP060Z1-Fp1U1Bp1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_FFPE/Human/S18-14960/B27/S18-14960-B27U1Bp1,Matt fills in,Matt fills in,,,Visium V1 Slide - FFPE v1,,FALSE,TRUE,17943,Visium,FALSE,4940,22432,spot,16722,110814316,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,247000000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
SP008Z1,SP008Z1-Fp1F15U1Bp1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_FFPE/Human/S18-9251/F15/S18-9251-F15U1Bp1,Matt fills in,Matt fills in,,,Visium V1 Slide - FFPE v1,,FALSE,TRUE,17943,Visium,FALSE,4731,22458,spot,16590,106250660,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,236550000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT891Z1,HT891Z1-S2H3Fp1U2,/diskmnt/primary/Spatial_Transcriptomics/VisiumHD_run/FFPE/SpacerangerOut/HTAN/PCa/HT891Z1-S2H3Fp1//HT891Z1-S2H3Fp1U2/outs,Matt fills in,Matt fills in,,,Visium HD v1 - FFPE,,FALSE,TRUE,18085,Visium,FALSE,405788,597.2,spot,18071,242322118,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,20289400000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT891Z1,HT891Z1-S2H3Fp1U33,/diskmnt/primary/Spatial_Transcriptomics/VisiumHD_run/FFPE/SpacerangerOut/HTAN/PCa/HT891Z1-S2H3Fp1//HT891Z1-S2H3Fp1U33/outs,Matt fills in,Matt fills in,,,Visium HD v1 - FFPE,,FALSE,TRUE,18085,Visium,FALSE,356543,593,spot,18068,211413789,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,17827150000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT935Z1,HT935Z1-S1H1Fp1U1,/diskmnt/primary/Spatial_Transcriptomics/VisiumHD_run/FFPE/SpacerangerOut/HTAN/PCa/HT935Z1-S1H1Fp1//HT935Z1-S1H1Fp1U1/outs,Matt fills in,Matt fills in,,,Visium HD v1 - Probe-based v1,,FALSE,TRUE,18085,Visium,FALSE,440452,837,spot,17794,368642650,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,22022600000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT704B1,HT704B1-S1H3Fp1U2,/diskmnt/primary/Spatial_Transcriptomics/VisiumHD_run/FFPE/SpacerangerOut/HTAN/BRCA/HT704B1-S1H3Fp1//HT704B1-S1H3Fp1U2/outs,Matt fills in,Matt fills in,,,Visium HD v1 - FFPE,,FALSE,TRUE,18085,Visium,FALSE,462406,599.3,spot,18057,277133390,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,23120300000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT704B1,HT704B1-S1H3Fp1U51,/diskmnt/primary/Spatial_Transcriptomics/VisiumHD_run/FFPE/SpacerangerOut/HTAN/BRCA/HT704B1-S1H3Fp1//HT704B1-S1H3Fp1U51/outs,Matt fills in,Matt fills in,,,Visium HD v1 - FFPE,,FALSE,TRUE,18085,Visium,FALSE,438041,527.4,spot,18054,231011298,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,21902050000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT935Z1,HT935Z1-S1H1Fp1U2,/diskmnt/primary/Spatial_Transcriptomics/VisiumHD_run/FFPE/SpacerangerOut/HTAN/PCa/HT935Z1-S1H1Fp1//HT935Z1-S1H1Fp1U2/outs,Matt fills in,Matt fills in,,,Visium HD v1 - Probe-based v1,,FALSE,TRUE,18085,Visium,FALSE,307471,648.1,spot,17709,199278051,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,15373550000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT727B1,HT727B1-S1H4Fp1U1,/diskmnt/primary/Spatial_Transcriptomics/VisiumHD_run/FFPE/SpacerangerOut/HTAN/BRCA/HT727B1-S1H4Fp1//HT727B1-S1H4Fp1U1/outs,Matt fills in,Matt fills in,,,Visium HD v1 - Probe-based v1,,FALSE,TRUE,18085,Visium,FALSE,378469,589.1,spot,17958,222949970,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,18923450000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
