Specimen name,participant name,PN validate,experiment,level,path
HT891Z1-S2H1Fp1,HT891Z1,HT891Z1,cosmx,,/diskmnt/primary/CosMx/data/20240827_118454_HT913Z1-S1H1Fp1_HT891Z1-S2H1Fp1_HT891Z1-S2H4Fp1/
HT891Z1-S2H4Fp1,HT891Z1,HT891Z1,cosmx,,/diskmnt/primary/CosMx/data/20240827_118454_HT913Z1-S1H1Fp1_HT891Z1-S2H1Fp1_HT891Z1-S2H4Fp1/
HT891Z1-S2H3FP1Us1,HT891Z1,HT891Z1,cosmx,,/diskmnt/primary/CosMx/data/20241112_118452_HT891Z1-S2H3FP1Us1__HT891Z1-S2H3FP1Us2/
HT891Z1-S2H3FP1Us2,HT891Z1,HT891Z1,cosmx,,/diskmnt/primary/CosMx/data/20241112_118452_HT891Z1-S2H3FP1Us1__HT891Z1-S2H3FP1Us2/
HT938Z1-S1H1FP1U1,HT938Z1,HT938Z1,cosmx,,/diskmnt/primary/CosMx/data/20241205_116645_HT938Z1-S1H1FP1U1__HT997Z1-S1H1FP1U1__HT935Z1-S1H1FP1U2/
HT997Z1-S1H1FP1U1,HT997Z1,HT997Z1,cosmx,,/diskmnt/primary/CosMx/data/20241205_116645_HT938Z1-S1H1FP1U1__HT997Z1-S1H1FP1U1__HT935Z1-S1H1FP1U2/
HT935Z1-S1H1FP1U2,HT935Z1,HT935Z1,cosmx,,/diskmnt/primary/CosMx/data/20241205_116645_HT938Z1-S1H1FP1U1__HT997Z1-S1H1FP1U1__HT935Z1-S1H1FP1U2/
HT206B1-H2L1U23_1,HT206B1,HT206B1,cosmx,,/diskmnt/primary/CosMx/data/HT206B1-H2L1U15_1___HT206B1-H2L1U23_1/
HT704B1-S1H3Fp1_U14,HT704B1,HT704B1,cosmx,,/diskmnt/primary/CosMx/data/HT704B1-S1H3Fp1U14___HT704B1-S1H3Fp1U22/
HT704B1-S1H3Fp1_U22,HT704B1,HT704B1,cosmx,,/diskmnt/primary/CosMx/data/HT704B1-S1H3Fp1U14___HT704B1-S1H3Fp1U22/
HT704B1-S1H3Fp1_U47,HT704B1,HT704B1,cosmx,,/diskmnt/primary/CosMx/data/HT704B1-S1H3Fp1U56___HT704B1-S1H3Fp1U47/
HT704B1-S1H3Fp1_U56,HT704B1,HT704B1,cosmx,,/diskmnt/primary/CosMx/data/HT704B1-S1H3Fp1U56___HT704B1-S1H3Fp1U47/
SP003Z1-Fp1Us1_1,SP003Z1,SP003Z1,xenium,,/diskmnt/primary/Xenium/data/20230830__153957__20230830_24001/output-XETG00122__0011120__S18-15142Fp1Us1_1__20230830__154053
SP017Z1-Fp1B27Us1_17,SP017Z1,SP017Z1,xenium,,/diskmnt/primary/Xenium/data/20230912__220334__24002/output-XETG00122__0010784__S18-9906-B27Us1_17Q1__20230912__220421
SP017Z1-Fp1B27Us1_2,SP017Z1,SP017Z1,xenium,,/diskmnt/primary/Xenium/data/20230912__220334__24002/output-XETG00122__0010784__S18-9906-B27Us1_2Q1__20230912__220421
SP017Z1-Fp1B27Us1_24,SP017Z1,SP017Z1,xenium,,/diskmnt/primary/Xenium/data/20230912__220334__24002/output-XETG00122__0010787__S18-9906-B27Us1_24Q1__20230912__220421
